domain,domain_label,accession,title,date,year,quarter,month,institution,affiliation,country,email
bioimages,BioImages,S-BIAD191,The Homeobox Genes of Caenorhabditis elegans and Insights into Their Spatio-Temporal Expression Dynamics during Embryogenesis,2021-06-08,2021,2,6,Other Norway,Johan Henriksson,,NA
bioimages,BioImages,S-JCBD-200812034,Classical cadherins control nucleus and centrosome position and cell polarity,2009-06-01,2009,2,6,Other Norway,Isabelle Dupin | Emeline Camand | Sandrine Etienne-Manneville,,NA
bioimages,BioImages,S-JCBD-200904140,Heterogeneity in the physiological states and pharmacological responses of differentiating 3T3-L1 preadipocytes,2009-10-26,2009,4,10,Other Norway,Lit-Hsin Loo | Hai-Jui Lin | Dinesh K. Singh | Kathleen M. Lyons | Steven J. Altschuler | Lani F. Wu,,NA
bioimages,BioImages,S-JCBD-200906044,Anchorage of VEGF to the extracellular matrix conveys differential signaling responses to endothelial cells,2010-02-22,2010,1,2,Other Norway,Tom T. Chen | Alfonso Luque | Sunyoung Lee | Sean M. Anderson | Tatiana Segura | M. Luisa Iruela-Arispe,,NA
bioimages,BioImages,S-JCBD-200906094,Keratins regulate protein biosynthesis through localization of GLUT1 and -3 upstream of AMP kinase and Raptor,2009-10-19,2009,4,10,Other Norway,Preethi Vijayaraj | Cornelia Kröger | Ursula Reuter | Reinhard Windoffer | Rudolf E. Leube | Thomas M. Magin,,NA
bioimages,BioImages,S-JCBD-200908045,Recreation of the terminal events in physiological integrin activation,2010-01-04,2010,1,1,Other Norway,Feng Ye | Guiqing Hu | Dianne Taylor | Boris Ratnikov | Andrey A. Bobkov | Mark A. McLean | Stephen G. Sligar | Kenneth A. Taylor | Mark H. Ginsberg,,NA
bioimages,BioImages,S-JCBD-200910006,A robust cell cycle control mechanism limits E2F-induced proliferation of terminally differentiated cells in vivo,2010-06-14,2010,2,6,Other Norway,Laura A. Buttitta | Alexia J. Katzaroff | Bruce A. Edgar,,NA
bioimages,BioImages,S-JCBD-200911156,DNA damage signaling in response to double-strand breaks during mitosis,2010-07-26,2010,3,7,Other Norway,Simona Giunta | Rimma Belotserkovskaya | Stephen P. Jackson,,NA
bioimages,BioImages,S-JCBD-201003055,Regulation ofO-glycosylation through Golgi-to-ER relocation of initiation enzymes,2010-05-24,2010,2,5,Other Norway,David J. Gill | Joanne Chia | Jamie Senewiratne | Frederic Bard,,NA
bioimages,BioImages,S-JCBD-201003086,Caveolin-1 is ubiquitinated and targeted to intralumenal vesicles in endolysosomes for degradation,2010-11-01,2010,4,11,Other Norway,Arnold Hayer | Miriam Stoeber | Danilo Ritz | Sabrina Engel | Hemmo H. Meyer | Ari Helenius,,NA
bioimages,BioImages,S-JCBD-201005035,PTP1B regulates Eph receptor function and trafficking,2010-12-06,2010,4,12,Other Norway,Eva Nievergall | Peter W. Janes | Carolin Stegmayer | Mary E. Vail | Fawaz G. Haj | Shyh Wei Teng | Benjamin G. Neel | Philippe I. Bastiaens | Martin Lackmann,,NA
